"","Player","height","X3P","X3PA"
"429","Markieff Morris",188,1.3,3.8
"430","Marquese Chriss",208,2,6.2
"431","Marquis Daniels",198,0.5,1.9
"432","Marquis Teague",188,0.6,2.6
"433","Marreese Speights",208,0.8,2.2
"434","MarShon Brooks",196,1.4,4.2
"435","Martell Webster",216,3,7.9
"436","Marvin Williams",185,1.5,4.3
"437","Mason Plumlee",211,0,0.1
"438","Matt Barnes",203,2.3,6.8
"439","Matt Bonner",208,3.1,7.5
"440","Matt Carroll",198,2.4,6.2
"441","Matthew Dellavedova",193,2.4,6.1
"442","Maurice Harkless",206,1.3,4.1
"443","Melvin Ely",208,0,0
"444","Meyers Leonard",216,2.1,5.8
"445","Michael Beasley",206,1.1,3.2
"446","Michael Carter-Williams",198,0.9,3.4
"447","Michael Kidd-Gilchrist",201,0,0.2
"448","Mickael Gelabale",201,0.9,3
"449","Mickael Pietrus",198,2.9,8.2
"450","Mike Conley",185,2.1,5.5
"451","Mike Dunleavy",190,2.4,6.5
"452","Mike Harris",198,0,0.5
"453","Mike James",188,2.5,6.7
"454","Mike Miller",203,3,7.4
"455","Mike Muscala",211,1.3,3.4
"456","Mike Scott",203,2.3,6.8
"457","Miles Plumlee",211,0,0
"458","Mindaugas Kuzminskas",206,2.7,8.3
"459","Miroslav Raduljica",213,0,0
"460","Mirza Teletovic",206,4.7,12.9
"461","Mitch McGary",208,0,0.5
"462","Mo Williams",203,2.4,6.4
"463","Monta Ellis",190,1.3,4
"464","Montrezl Harrell",203,0,0.3
"465","Myles Turner",211,0.5,1.6
"466","Nate Robinson",175,3,8.4
"467","Nate Wolters",193,0.6,2.3
"468","Nazr Mohammed",208,0,0
"469","Nemanja Bjelica",208,2.3,6.7
"470","Nene Hilario",211,0,0.1
"471","Nerlens Noel",211,0,0
"472","Nick Calathes",198,0.8,2.7
"473","Nick Collison",208,0.1,0.3
"474","Nick Young",201,3.1,8.3
"475","Nicolas Batum",203,2.7,7.5
"476","Nicolas Brussino",201,2.9,9.5
"477","Nik Stauskas",198,2.7,8
"478","Nikola Jokic",208,1,2.9
"479","Nikola Mirotic",208,3.7,10.6
"480","Nikola Pekovic",211,0,0
"481","Nikola Vucevic",213,0.1,0.4
"482","Noah Vonleh",208,0.4,1.5
"483","Nolan Smith",188,1.2,4.6
"484","Norman Powell",193,2.2,6.4
"485","Norris Cole",188,1.3,4.2
"486","O.J. Mayo",201,2.6,7
"487","Omer Asik",213,0,0
"488","Omri Casspi",206,2.2,6
"489","Orlando Johnson",196,2.2,7.1
"490","Otto Porter",203,2.1,5.5
"491","P.J. Hairston",206,3,10.3
"492","P.J. Tucker",206,1.4,3.9
"493","Pablo Prigioni",190,2.3,6.1
"494","Pascal Siakam",206,0.1,0.4
"495","Pat Connaughton",196,2.4,5.9
"496","Patrick Beverley",185,2.8,7.5
"497","Patrick McCaw",201,1.8,5.5
"498","Patrick Patterson",206,1.8,5
"499","Patty Mills",203,4.1,10.3
"500","Pau Gasol",213,0.2,0.5
"501","Paul George",206,3.1,8.5
"502","Paul Millsap",203,0.7,2.1
"503","Paul Pierce",201,2.4,6.6
"504","Paul Zipser",203,2,5.9
"505","Pero Antic",211,2.8,8.9
"506","Perry Jones",211,1.1,3.7
"507","Phil Pressey",180,1.2,4.8
"508","Quentin Richardson",198,2.9,8.3
"509","Quincy Acy",201,1,2.8
"510","Quincy Miller",206,1.7,6
"511","Quincy Pondexter",201,2.1,5.8
"512","Rajon Rondo",185,0.5,1.8
"513","Ramon Sessions",190,0.7,2.1
"514","Randy Foye",193,2.9,8
"515","Rashad Vaughn",198,2.4,8
"516","Rashard Lewis",198,2.8,7.3
"517","Rasheed Wallace",208,1.6,4.8
"518","Rasual Butler",201,2.8,7.8
"519","Raul Neto",185,2.1,5.5
"520","Ray Allen",203,3.4,8.5
"521","Ray McCallum",190,1.3,3.8
"522","Raymond Felton",185,1.6,4.9
"523","Reggie Bullock",201,2.7,7.6
"524","Reggie Evans",203,0,0
"525","Reggie Jackson",190,1.9,6
"526","Reggie Williams",201,2.7,7.4
"527","Richard Hamilton",198,1,2.8
"528","Richard Jefferson",201,1.6,4.2
"529","Richaun Holmes",208,0.9,3.1
"530","Ricky Rubio",193,1.1,3.4
"531","Robbie Hummel",203,1.7,5
"532","Robert Covington",206,3.9,11.1
"533","Robert Sacre",213,0,0
"534","Robin Lopez",213,0,0
"535","Rodney Hood",203,3.4,9.4
"536","Rodney McGruder",193,1.9,5.6
"537","Rodney Stuckey",196,0.8,2.7
"538","Rodrigue Beaubois",183,2.3,7.1
"539","Roger Mason",196,3.5,9
"540","Ron Baker",193,1.3,5
"541","Rondae Hollis-Jefferson",201,0.4,1.6
"542","Ronnie Brewer",193,0.4,1.6
"543","Ronnie Price",188,1.7,5.7
"544","Ronny Turiaf",208,0,0
"545","Roy Hibbert",218,0,0.1
"546","Royal Ivey",190,1.4,3.8
"547","Rudy Gay",203,1.5,4.4
"548","Rudy Gobert",216,0,0
"549","Russell Westbrook",190,1.6,5
"550","Ryan Anderson",208,4.2,11
"551","Ryan Gomes",201,1.3,3.7
"552","Ryan Hollins",213,0,0
"553","Ryan Kelly",211,1.6,5.2
"554","Salah Mejri",216,0,0.2
"555","Sam Dekker",206,2,6.3
"556","Sam Young",198,0.6,2.3
"557","Samardo Samuels",206,0,0.1
"558","Samuel Dalembert",211,0,0
"559","Sasha Pavlovic",211,1.8,5.3
"560","Sasha Vujacic",201,3.1,8.4
"561","Sean Kilpatrick",193,2.9,8.6
"562","Sebastian Telfair",183,1.6,4.9
"563","Semaj Christon",190,0.6,3.2
"564","Serge Ibaka",208,0.9,2.4
"565","Sergey Karasev",201,1.4,5.1
"566","Sergio Rodriguez",190,2,5.9
"567","Seth Curry",188,3.5,8.1
"568","Shabazz Muhammad",198,1.3,4.2
"569","Shabazz Napier",185,2.7,7.6
"570","Shane Battier",203,2.2,5.7
"571","Shane Larkin",180,1.1,3.3
"572","Shannon Brown",193,2,5.9
"573","Shaun Livingston",201,0,0.2
"574","Shavlik Randolph",208,0,0.3
"575","Shawn Marion",201,1,3.1
"576","Shawne Williams",185,2.6,7.7
"577","Shelvin Mack",190,1.9,5.8
"578","Solomon Hill",201,1.7,4.9
"579","Solomon Jones",208,0,0.2
"580","Sonny Weems",198,0.5,1.8
"581","Spencer Dinwiddie",198,1.3,4.4
"582","Spencer Hawes",216,1.2,3.4
"583","Stanley Johnson",203,1.8,5.9
"584","Stephen Curry",190,4.7,10.8
"585","Stephen Jackson",190,2.4,7.1
"586","Steve Blake",190,2.6,6.8
"587","Steve Nash",190,2.3,5.3
"588","Steve Novak",208,5.3,12.4
"589","Steven Adams",213,0,0
"590","T.J. McConnell",208,0.5,1.9
"591","T.J. Warren",208,0.8,2.5
"592","Taj Gibson",206,0,0.1
"593","Tarik Black",206,0,0.1
"594","Taurean Waller-Prince",183,1.7,5.1
"595","Tayshaun Prince",206,1,2.7
"596","Terrel Harris",196,0.9,5.5
"597","Terrence Jones",206,0.8,2.8
"598","Terrence Ross",201,3.6,9.7
"599","Terrence Williams",198,1,3.3
"600","Terry Rozier",188,2,6.5
"601","Thabo Sefolosha",201,1.3,3.7
"602","Thaddeus Young",203,0.7,2.1
"603","Thomas Robinson",208,0,0.1
"604","Thon Maker",216,2.5,6.7
"605","Tiago Splitter",211,0,0.1
"606","Tim Duncan",211,0,0.2
"607","Tim Frazier",185,1.2,3.8
"608","Tim Hardaway",183,3.5,9.9
"609","Timofey Mozgov",216,0,0.3
"610","Timothe Luwawu-Cabarrot",198,2,6.6
"611","Tobias Harris",190,1.6,4.8
"612","Tomas Satoransky",201,0.6,2.5
"613","Toney Douglas",188,3,8.5
"614","Tony Allen",193,0.4,1.3
"615","Tony Parker",188,0.7,2.2
"616","Tony Snell",201,2.7,7.2
"617","Tony Wroten",198,1.3,5.8
"618","Tornike Shengelia",206,0.2,1.7
"619","Toure' Murry",196,0.7,1.6
"620","Travis Outlaw",206,1.4,4.2
"621","Travis Wear",208,0.9,2.4
"622","Trevor Ariza",203,2.3,6.5
"623","Trevor Booker",203,0.4,1.1
"624","Trey Burke",185,2.8,8.3
